id,title,authors,year,abstract,keywords,journal,doi,source_db,country,citations,url
EBSCO_-260560325937627227,Generative artificial intelligence.,,2026.0,"Generative artificial intelligence is a type of artificial intelligence (AI) technology that can make content such as audio, images, text, and videos. It involves algorithms such as ChatGPT and Claude, chatbots that can produce content requested by a user, and DALL·E and Midjourney, which generate art. AI emerged gradually over more than half a century. Generative AI is a type of machine learning that involves using data and algorithms to imitate how humans learn and become more accurate. While machine learning can perceive and sort data, generative AI can take the next step and create something based on the information it has. However, it remains expensive, and only a few well-financed companies, including OpenAI, DeepMind, and Meta, have built generative AI models. Other organizations have also developed smaller or open models that are shared more widely.

Salem Press Encyclopedia of Science, 2026",,"Salem Press Encyclopedia of Science, 2026",,EBSCO,,0,
EBSCO_4243884259310705424,Generative artificial intelligence and mathematical modelling for eco-friendly humanitarian supply chains.,"Baharmand, Hossein; Behdani, Behzad; Generative artificial intelligence; Mathematical models; Circular economy; Emergency management",2022.0,"Publicaciones arbitradas
Publicación académica
Herramientas para Generative artificial intelligence and mathematical modelling for eco-friendly humanitarian supply chains.
Generative artificial intelligence and mathematical modelling for eco-friendly humanitarian supply chains.",Generative artificial intelligence; Mathematical models; Circular economy; Emergency management,"International Journal of Production Research, Mar",,EBSCO,,0,
EBSCO_-6137023899222366506,Intelligent scheduling in agricultural wholesale markets: an optimisation approach with simulation-driven and GenAI-based interaction support.,"Matsuno, Kotomichi; Iizuka, Hiroki; Chou, Che-Wei; Generative artificial intelligence; Mathematical optimization; Business logistics; Freight traffic",,"Publicaciones arbitradas
Publicación académica
Herramientas para Intelligent scheduling in agricultural wholesale markets: an optimisation approach with simulation-driven and GenAI-based interaction support.
Intelligent scheduling in agricultural wholesale markets: an optimisation approach with simulation-driven and GenAI-based interaction support.",Generative artificial intelligence; Mathematical optimization; Business logistics; Freight traffic,"International Journal of Production Research, Mar",,EBSCO,,0,
EBSCO_-7016734697394099684,Building a pathway of GenAI-enabled capabilities for supply chain management.,"Callefi, Mario Henrique; Magalhães, Elza; Negrão, Léony Luis Lopes; Generative artificial intelligence; Supply chain management; Core competencies; Automation",,"Publicaciones arbitradas
Publicación académica
Herramientas para Building a pathway of GenAI-enabled capabilities for supply chain management.
Building a pathway of GenAI-enabled capabilities for supply chain management.",Generative artificial intelligence; Supply chain management; Core competencies; Automation,"International Journal of Production Research, Feb",,EBSCO,,0,
EBSCO_5424950315119399351,From Assistant to Collaborator: Getting the Most Out of GenAI.,"Little, Vicki Janine; Velazquez, Santiago; Generative artificial intelligence; Marketing research; Artificial intelligence; Marketing Research and Public Opinion Polling",,"Publicaciones arbitradas
Publicación académica
Herramientas para From Assistant to Collaborator: Getting the Most Out of GenAI.
From Assistant to Collaborator: Getting the Most Out of GenAI.",Generative artificial intelligence; Marketing research; Artificial intelligence; Marketing Research and Public Opinion Polling,"International Journal of Market Research, Jan",,EBSCO,,0,
EBSCO_-3016292930121900424,Leveraging generative artificial intelligence for sustainable business model innovation in production systems.,Generative artificial intelligence; Organizational learning; Business models; Flexible manufacturing systems,,"Publicaciones arbitradas
Publicación académica
Herramientas para Leveraging generative artificial intelligence for sustainable business model innovation in production systems.
Leveraging generative artificial intelligence for sustainable business model innovation in production systems.",Generative artificial intelligence; Organizational learning; Business models; Flexible manufacturing systems,"International Journal of Production Research, Sep",,EBSCO,,0,
EBSCO_6189992739259965237,Are You Willing to Pay for Generative Artificial Intelligence (GenAI) Products? Disentangling the Disclosure Effects and the Mediating Role of Psychological Value.,Generative artificial intelligence; Willingness to pay; Street art; Digital technology,2025.0,"Publicaciones arbitradas
Publicación académica
Herramientas para Are You Willing to Pay for Generative Artificial Intelligence (GenAI) Products? Disentangling the Disclosure Effects and the Mediating Role of Psychological Value.
Are You Willing to Pay for Generative Artificial Intelligence (GenAI) Products? Disentangling the Disclosure Effects and the Mediating Role of Psychological Value.",Generative artificial intelligence; Willingness to pay; Street art; Digital technology,"Journal of Management Information Systems,",,EBSCO,,0,
EBSCO_8918435197719694342,The GenAI Future of Consumer Research.,Generative artificial intelligence; Consumer research; Innovation management; Data analysis,,"Publicaciones arbitradas
Publicación académica
Herramientas para The GenAI Future of Consumer Research.
The GenAI Future of Consumer Research.",Generative artificial intelligence; Consumer research; Innovation management; Data analysis,"Journal of Consumer Research, Jun",,EBSCO,,0,
EBSCO_9150597256050638463,"Generative Artificial Intelligence in HRM Practice: Patterns, Profiles, and Theoretical Insights.",Generative artificial intelligence; Personnel management; Innovation adoption; Technology transfer,2076.0,"Publicaciones arbitradas
Publicación académica
Herramientas para Generative Artificial Intelligence in HRM Practice: Patterns, Profiles, and Theoretical Insights.
Generative Artificial Intelligence in HRM Practice: Patterns, Profiles, and Theoretical Insights.",Generative artificial intelligence; Personnel management; Innovation adoption; Technology transfer,"Administrative Sciences (2076-3387), Mar",,EBSCO,,0,
EBSCO_8373883303190937672,INCREASING THE EFFICIENCY OF PSYCHOLOGICAL SUPPORT IN CRISIS SITUATIONS USING AN INFORMATION SYSTEM BASED ON GENERATIVE ARTIFICIAL INTELLIGENCE.,"N. M., Boliubash; Generative artificial intelligence; Information storage & retrieval systems; Online information services; Social support",,"Publicaciones arbitradas
Publicación académica
Herramientas para INCREASING THE EFFICIENCY OF PSYCHOLOGICAL SUPPORT IN CRISIS SITUATIONS USING AN INFORMATION SYSTEM BASED ON GENERATIVE ARTIFICIAL INTELLIGENCE.
INCREASING THE EFFICIENCY OF PSYCHOLOGICAL SUPPORT IN CRISIS SITUATIONS USING AN INFORMATION SYSTEM BASED ON GENERATIVE ARTIFICIAL INTELLIGENCE.",Generative artificial intelligence; Information storage & retrieval systems; Online information services; Social support,"German International Journal of Modern Science / Deutsche Internationale Zeitschrift für Zeitgenössische Wissenschaft, Mar",,EBSCO,,0,
