id,title,authors,year,abstract,keywords,journal,doi,source_db,country,citations,url
https://openalex.org/W4384562700,"PAST, PRESENT AND FUTURE OF DISTANCE LEARNING",Sanja Selimović; Stanko Blatnik,2023,"The paper examines the development of distance learning with a focus on the application of the internet based on the authors' experiences gained from implementing various distance learning projects. The methodology of distance learning has not significantly changed since its inception in the 18th century; rather, the mode of communication between students and teachers has evolved. At present, there is little room for improvement in distance learning through the use of new technological solutions. However, the use of artificial intelligence opens up new possibilities for education that will fundamentally transform the shape of education in the future. Based on their experiences, analysis of the development of distance learning, and trends in artificial intelligence, the authors have conceptualized the P3 education model, which is predictive, personalized, and proactive. This model will first be applied in non-formal education and will be implemented more slowly in the formal education system, which is conservative and slow to embrace change. However, within a few years, as every individual with a smartphone will have their own digital teacher (an icon on the phone screen to be tapped), the formal education system will undergo seismic changes.Key words:distance learning, artificial intelligence, education, paradigm change.",Distance education; Icon; Computer science; The Internet; Formal learning; Paradigm shift; Artificial intelligence; Key (lock); Mathematics education; Psychology; World Wide Web; Epistemology; Computer security,Research in Education and Rehabilitation,https://doi.org/10.51558/2744-1555.2023.6.1.9,SAGE,,1,https://openalex.org/W4384562700
https://openalex.org/W4392645389,IDENTIFYING AND DIAGNOSING THE GAP IN APPLYING ARTIFICIAL INTELLIGENCETECHNIQUES SCALE IN MANAGING HIGH-PERFORMANCE SPORTS ORGANIZATIONS,Aseel H. Obaid; Naema Zeidan Khalaf,2023,"Abstract This study seeks to evaluate the technician in the Department of Sports and School Activity in the General Directorate of Education of Baghdad / Al-Rusafa II, according to the requirements of the standard of artificial intelligence techniques in order to diagnose and identify the gap between the technical performance of this section with the requirements of the standard, identify the causes of the gap and propose effective solutions for it. The checklist was used to collect data and information according to the scale of artificial intelligence technologies with five axes (expert systems, virtual reality, smart agents, information technologies, and process automation). The Department of Sports and School Activity in the General Directorate of Education of Baghdad / Al-Rusafa II (case study) have a clear perception of the importance of the measure of artificial intelligence techniques, but the absence of financial and technical capabilities prevents the adoption of this measure in the management of the department, in addition to the lack of management of the department of an administrative unit to follow up the functional work And technology and studying the causes of deviation and the procedures to be followed for the purpose of controlling all factors affecting artificial intelligence techniques, and by examining the results of this study obtained from the checklists, it can be indicated that there are weaknesses in all the requirements that must be available in the sports and school activity section and according to the requirements of the intelligence techniques scale With regard to the axis of expert systems and the axis of smart agents, the percentage of matching dolls was (0%) and the gap for non-conformity amounted to (1). As for the axis of virtual impact, it is not less important than them, as the amount of the gap amounted to (0.9), but the amount of the gap for the axes of information technology and process automation is (0.3), which indicates that the Department of Sports and School Activity applies in its work to most of the paragraphs of these two axes to the requirements of the scale of artificial intelligence technologies. Keywords: Artificial Intelligence techniques, High-Performance Sports Organizations, Checklists, Gap-Size",Scale (ratio); Computer science; Artificial intelligence; Data science; Engineering; Knowledge management; Geography; Cartography,Sport Scientific And Practical Aspects International Scientific Journal of Kinesiology,https://doi.org/10.51558/1840-4561.2023.20.2.27,SAGE,IQ,0,https://openalex.org/W4392645389
https://openalex.org/W4390860481,TRANSFORMING HEALTHCARE: THE ROLE OF NGOS INPROMOTING AND BUILDING A P4 MEDICINE HEALTH SYSTEM,Sanja Selimović; Stanko Blatnik; Ana Gavran Miloš; Paulina Perušina,2023,"P4 medicine, with its focus on predictive, personalized, preventive, and participatory healthcare, has potential to transform traditional model of medicine. This article examines the principles and potential impact of P4 medicine, emphasizing role of non-governmental organizations (NGOs) in promoting and building a P4 medicine health system. The analysis explores two Erasmus+ projects, Train4inclusive and SNATCH, which involve NGOs and highlight their significant contributions to theimplementation of P4 medicine. NGOs can contribute to P4 medicine through advocacy, awareness, research, innovation, policy development, collaboration and partnerships. By raising awareness about P4 medicine, advocating for its principles, and collaborating with stakeholders,NGOs can drive positive change in healthcare systems. The Train4inclusive project focuses on educating trainers working with people with disabilities to monitor their progress in organized sports activities. This project contributes to personalized monitoring, data collection, analysis, collaboration, and knowledge exchange within the context of P4 medicine. The SNATCH project educates swimming trainers and teachers about healthy lifestyle factors, aligning with the principles of P4 medicine, including a holistic approach, prevention, wellness, personalized education, behavioral changes, and collaboration. The implementation of P4 medicine requires active participation of all stakeholders, including NGOs, small businesses, healthcare providers, researchers, technology developers, and general population. Timely education and preparation are crucial for a successful transition to P4 medicine. Furthermore, while not specifically analyzed in this article, the role of Artificial Intelligence (AI) in P4 medicineis expected to be significant, with AI-powered personal health agents playing a fundamental role in delivering personalized and proactive healthcare. Key words: P4 medicne, non-governmantal organization, support, education.",Health care; Public relations; Context (archaeology); Personalized medicine; Citizen journalism; Medical education; Knowledge management; Political science; Medicine; Business; Computer science; Bioinformatics,Research in Education and Rehabilitation,https://doi.org/10.51558/2744-1555.2023.6.2.148,SAGE,,0,https://openalex.org/W4390860481
https://openalex.org/W34796679,"Joyce, Lyotard and Art as Damnation",Sheldon Brivic,2004,"Digital Pathology (DP) is a platform which has the potential to develop a truly integrated and global pathology community. The generation of DP data at scale creates novel challenges for the histopathology community in managing, processing, and governing the use of these data. The current understanding of, and confidence in, the legal and ethical aspects of DP by pathologists is unknown. We developed an electronic survey (e-survey), comprising 22 questions, with input from the Royal College of Pathologists (RCPath) Digital Pathology Working Group. The e-survey was circulated via e-mail and social media (Twitter) through the RCPath Digital Pathology Working Group network, RCPath Trainee Committee network, the Pathology image data Lake for Analytics, Knowledge and Education (PathLAKE) digital pathology consortium, National Pathology Imaging Co-operative (NPIC), local contacts, and to the membership of both The Pathological Society of Great Britain and Ireland and the British Division of the International Academy of Pathology (BDIAP). Between 14 July 2020 and 6 September 2020, we collected 198 responses representing a cross section of histopathologists, including individuals with experience of DP research. We ascertained that, in the UK, DP is being used for diagnosis, research, and teaching, and that the platform is enabling data sharing. Our survey demonstrated that there is often a lack of confidence and understanding of the key issues of consent, legislation, and ethical guidelines. Of 198 respondents, 82 (41%) did not know when the use of digital scanned slide images would fall under the relevant legislation and 93 (47%) were 'Not confident at all' in their interpretation of consent for scanned slide images in research. With increasing uptake of DP, a working knowledge of these areas is essential but histopathologists often express a lack of confidence in these topics. The need for specific training in these areas is highlighted by the findings of this study.",Damnation; Paragraph; Unconscious mind; Philosophy; Subject (documents); Wife; Epistemology; Linguistics; Literature; Art; Theology; Law; Computer science,James Joyce quarterly,https://doi.org/10.1002/cjp2.251,SAGE,,1,https://openalex.org/W34796679
https://openalex.org/W4386724330,Merry Incarnations in This Land of the Livvey,Jeffrey Drouin,2022,"Merry Incarnations in This Land of the Livvey Jeffrey Drouin As we look to the next sixty years, our journal's continuity is well situated to explore the relevance of Joyce's work in ways we can't even conceive yet. This is because the future of all academic disciplines will be even more linguistic than in the past. There is still much to discover in Joyce's engagement with aesthetics, politics, empire, identity, media, cultural memory, and literary revolutions, all of them created by and refracted through linguistic experiment. Among the many innovative presentations at the ""James Joyce: Ulysses 1922-2022"" symposium in Dublin were several digitally inflected projects involving virtual reality, theatrical performance, and natural language processing that transformed Joyce's work into new kinds of objects and new forms of evidence. This is hardly surprising, given the well-known fact that Marshall McLuhan's study of Finnegans Wake and its linguistic engagement with cinema and radio was foundational in the field of media studies. Now we are in a new phase of media and computing, to which Joyce's work is highly attuned. The revolution in artificial intelligence has produced applications (OpenAI's ChatGPT and DALL-E 2, Anthropic AI's Claude, and Midjourney, to name a few) that are based on large language models (LLMs) that generate sophisticated writing and images in response to verbal prompts. Both types of [End Page 8] applications operate on the same transformer models that range over immense textual and visual corpora and ""learn"" context from sequential data like the syntax of sentences, not unlike Joyce's techniques for transforming cultural memory and the collective unconscious into new linguistic constructions. Something similar to Joyce's transformations occurs with DALL-E 2, for instance, which often produces images featuring ""text"" that so uncannily imitates the appearance—and in gloriously indirect ways the sense—of English words as to give the impression that the Wake predicted AI. See Figure 1, which illustrates a quote from the Earwicker children's Nightletter threatening their parents with ""youlldied greedings"" (FW II.ii 308). This is but one example of the new avenues now opening for Joyce studies, which share a large valence with poststructuralist modes of inquiry and the cultural studies we already know. The chance to work as a co-editor of JJQ with Bob Spoo, and alongside Carol Kealiher and our graduate-student interns, is in a very real sense a dream come true. It has been such a pleasure to realize that the warmth and dedication of the Joyce community is reflected in our staff. I might be a newcomer to journal editing, yet it would not be possible without the continual support from colleagues at Joyce conferences who listened to graduate students and provided constructive feedback over the years. Carol and Bob were on the masthead when I wrote an undergraduate thesis on ""Sirens"" and a master's thesis on ""Wandering Rocks"" in the late 1990s; Sean Latham was on it by the time I wrote a dissertation and then book on Joyce and the new physics. Now the ""old folkers"" and the ""new yonks"" will together steer the journal through its next sexagenarian phase! [End Page 9] Click for larger view View full resolution Figure 1. Pictured is an image generated with DALL-E 2, using a prompt from the Earwicker children's Nightletter: ""merry Incarnations in this land of the livvey and plenty of preprosperousness through their coming new yonks"" (FW II.ii 308), <https://openai.com/dall-e-2/>. [End Page 10] Jeffrey Drouin The University of Tulsa Copyright © 2023 University of Tulsa",Context (archaeology); Movie theater; Politics; Relevance (law); History; Aesthetics; Literature; Sociology; Media studies; Art; Archaeology; Law,James Joyce quarterly,https://doi.org/10.1353/jjq.2022.a906682,SAGE,,0,https://openalex.org/W4386724330
https://openalex.org/W4390860472,CLASSIFICATION OF PATIENTS WITH VISUAL DISABILITY FORTHE BASIC FUNCTIONAL REHABILITATION PROGRAM,Elladira Casas Contreras,2023,"The rehabilitation needs of people with visual disabilities vary due to different factors: congenital or acquired eye diseases, new social interaction, adaptation to productive, academic, or similar life, among others, meaning a continuous readjustment of the treatment plan of the patient and increasing rehabilitation costs. The care history of the Rehabilitation Center for Blind Adults (CRAC) has followed the basic functional rehabilitation route of the Rehabilitation Manual of the Latin American Union of the Blind (FOAL-ULAC, 1999) and contains the variables that can efficiently classify these patients with the use of machine learning tools.The patient's demographic (gender, age group) and clinical data (visual condition, admission ophthalmological diagnosis, emotional state), along with the number of visits, were collected through non-probabilistic sampling; The multiple correspondence analysis resulted in inverse associations between the quantitative and categorical variables, there was also a positive correlation between the quantitative variables according to Pearson's coefficient. To define the classification target variable, the similarcharacteristics between the variables were grouped into two clusters, using the scikit-learn library in Python and the k-prototype algorithm; After having the objective-labeled variable, the supervised Decision Tree, Random Forest, Gradient Boosting and Logistic Regression models were trained and tested. These models gave an accuracy between 82% and 84%, the most effective being the Gradient Boosting model, whose class prediction was: of 516 True Positives, 11 are False Positives, of 94 True Negatives and 15 are False Negatives (recall 98%), and accuracy of 83%.Keywords: Basic Function Rehabilitation, Supervised Machine Learning, Clustering, Predictive Models",Rehabilitation; Artificial intelligence; Gradient boosting; Machine learning; Categorical variable; Logistic regression; Decision tree; Computer science; Random forest; Psychology; Medicine; Physical therapy,Research in Education and Rehabilitation,https://doi.org/10.51558/2744-1555.2023.6.2.191,SAGE,CO,0,https://openalex.org/W4390860472
https://openalex.org/W3216046207,EDUCATIONAL INTEGRATION OF PEOPLE WITH VISION IMPAIRMENTS,Gorica Kurtuma; Ševala Tulumović; Hurma Begić,2021,"The educational integration of blind and visually impaired children has proven to be an upward trajectory in the process of upbringing, education, acquisition of knowledge and competencies in children with visual impairment. In addition to the benefits for the child's intellectual development, the integration process is of great importance in the social context. The education system has changed over time, both for visually impaired students and for their without visual impairment peers. Modern approaches and methods in the process of upbringing and education have made many means for work and learning for children who are blind and visually impaired inaccessible. We strive to adapt the environment for children with disabilities in order to fully include them and give them the opportunity to follow the most modern methods and use modern teaching aids in the process of upbringing and education. Key words: modern approaches, modern methods, integration, blind, visually impaired",Process (computing); Visually impaired; Psychology; Visual impairment; Context (archaeology); Social integration; Cognitive psychology; Computer science; Sociology; Human–computer interaction,Research in Education and Rehabilitation,https://doi.org/10.51558/2744-1555.2021.4.1.77,SAGE,BA,0,https://openalex.org/W3216046207
https://openalex.org/W4413062573,IMPACT OF PERSONALIZATION ON ONLINE SHOPPING INTENT: THE MEDIATING ROLE OF PERCEIVED AD INTRUSIVENESS,Sandra Jeličič; Nikolina Čule Karačić; Mirela Mabić,2025,"Due to rapid technological and Internet advancements, online shopping has become more popular, widespread, convenient, and easier for consumers. Common advantages of online shopping include convenience, product and service variety, price comparison, ability to view online customer reviews, possibility of different payment methods, accessibility, etc. However, it is important to consider potential challenges related to online shopping, such as inability to physically inspect the product before purchase, concerns about security and privacy, and exposure to fraud or counterfeit goods. The above factors emphasize the importance of ongoing research into the characteristics of online shopping because, with technological advances, online shopping is becoming increasingly present in everyday life. Purchase intention is one of the fundamental predictors of future consumer behavior. Personalized offering is one of the factors that influence online shopping intention. However, a consumer's experience of personalized ads can positively and negatively affect their perception of intrusiveness. Perceived intrusiveness of displayed ads can significantly impact their online purchase intention. This study investigates how the perceived personalization of online ads affects online purchase intention, with a focus on the mediating role of perceived intrusiveness. Theoretical contributions include insights into the interplay between personalization, intrusiveness, and purchase behavior, while practical implications guide marketers in mitigating the negative effects of personalized advertising.",Intrusiveness; Personalization; Product (mathematics); Advertising; Purchasing; Affect (linguistics); Perception; Consumer behaviour; Variety (cybernetics); Internet privacy; Business; Psychology; Marketing; Computer science; Social psychology,Economic Review,https://doi.org/10.51558/2303-680x.2024.22.2.91,SAGE,BA,0,https://openalex.org/W4413062573
https://openalex.org/W4406195475,MATERIAL MANAGEMENT AND THE SURVIVAL OF BLOCK MOLDING FIRMS,"Abideen, Shodiya Olayinka",2024,"The purpose of this study is to examine the effect of material management on the survival of block molding firms in a selected Local Government Area of Ogun State, Nigeria. This study collected data from 100 block molding enterprises from a population of 229 registered businesses in the block molding industry through survey research. To collect data from the respondents, a structured questionnaire with a five-point Likert scale was used. Cronbach's Alpha was used to validate the reliability of the variables utilized in the study. The data was analyzed using descriptive statistics, and the responses were represented using a simple percentage technique. PLS-SEM was used to analyze inferential statistics. The result showed that the coefficient ofmaterial procurement (β = 0.114, t = 5.195, p = 0.05) was found to have a significant positive relationship with block-producing-business survival. It also showed that the coefficient of inventory control (β = 0.837, t = 5.514, p = 0.05) was found to havea significant positive relationship with block-producing-business survival. The results further showed that the coefficient of material management (β = 0.965, t = 4.838, p = 0.05) was found to have a significant positive relationship with block-producing-business survival. The study concluded that a cohesive material management strategy can strengthen longevity. It advocated, among other things, that block-producing enterprises implement an integrated approach that harmonizes material procurement and inventory control in order to capitalize on the synergistic benefits of material management. This entails creating complete material management plans that optimize the whole supply chain, from sourcing to storage and distribution. Keywords: optimize the whole supply chain, from sourcing to storage and distribution.",Molding (decorative); Block (permutation group theory); Business; Materials science; Composite material; Mathematics; Geometry,Economic Review,https://doi.org/10.51558/2303-680x.2024.22.1.3,SAGE,,0,https://openalex.org/W4406195475
https://openalex.org/W4413699001,SATISFACTION OF USERS OF SERVICES IN SPA SPAS IN THE FEDERATION OF BOSNIA AND HERZEGOVINA,Amer Ovčina; Edhem Ćatić; Eldad Kaljić; Haso Sefo; Ediba Čelić-Spužić; Emilija Hrapović,2025,"It can be stated that quality is an integral part of our daily life. All people constantly insist on quality in certain areas of life, which indicates that quality can be found in all segments in which a person work. The main objective of this study is to examine the satisfaction of clients/users with the services of spa centers. The basic research methods used are: synthesis, analysis, induction and deduction, comparative and statistical methods. The collection of primary data was carried out through an online survey, which contains a standardized scale (SERVQUAL). The correlation analysis confirms the general objective, so it can be concluded that the Pearson coefficient is -0.158, from which it follows that there is a very weak negative correlation between these two variables. It is concluded that sociodemographic factors do not at all influence the attitude of respondents about the quality of service of spa resorts. But, Pearson coefficient indicates a high degree of correlation between respondents' satisfaction with the quality of service in sparesorts and other factors. There is a very high degree of correlation between respondents' satisfaction with service quality and other factors -81%, which have an impact on the respondents' satisfaction with thequality of service in the spa: the first contact in the spa, the reason for coming to the spa, the distance from home to the spa, travel time and the manner the therapy is introduced. Key words: Quality, safety of services, spa resorts, Bosnia and Herzegovina",Bosnia herzegovina; Russian federation; Business; Political science; Ancient history; History; Economic policy,Research in Education and Rehabilitation,https://doi.org/10.51558/2744-1555.2025.8.1.86,SAGE,,0,https://openalex.org/W4413699001
